"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157"
"1",0,0,0,0,2,1,1,1,0,2,1,2,4,6,4,6,4,8,6,5,8,9,10,10,15,21,16,7,13,19,25,17,27,18,22,17,24,25,32,28,29,26,29,30,22,28,32,22,33,25,11,15,13,13,13,9,8,9,7,7,3,5,1,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,1,0,1,2,1,2,2,2,4,4,5,4,6,5,5,12,12,9,6,11,8,8,17,15,15,21,12,14,15,28,21,27,20,24,24,19,15,33,28,27,34,29,23,24,31,31,20,27,19,9,13,13,7,12,8,2,4,4,7,3,2,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,1,0,0,0,1,0,2,2,3,1,1,2,2,5,4,11,7,10,4,6,8,12,13,13,16,12,14,21,16,23,15,28,20,25,22,29,34,20,26,31,25,27,24,17,32,41,21,23,20,15,24,15,9,16,8,7,9,7,5,4,4,2,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,1,0,1,3,3,2,3,3,1,5,4,4,6,6,11,10,14,16,12,13,16,16,16,19,8,20,15,19,19,14,20,31,30,28,16,22,19,33,24,26,25,28,27,19,29,18,16,19,17,10,17,11,6,5,7,5,4,1,4,3,2,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,4,0,0,1,1,2,6,3,4,4,4,2,8,10,3,7,11,6,14,9,12,13,13,8,9,21,19,17,22,14,18,20,23,26,28,21,29,28,17,19,26,29,18,26,29,27,14,20,18,17,10,11,11,5,10,15,8,4,1,1,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,1,0,0,1,0,4,5,6,3,8,4,4,10,11,7,13,7,12,13,9,17,9,18,21,18,19,20,23,32,20,19,29,25,25,31,30,26,25,15,15,27,37,19,15,14,19,23,21,10,6,12,7,9,11,5,3,8,2,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
