"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278"
"1",0,0,0,0,1,1,0,1,0,2,0,1,2,2,3,1,1,1,5,7,4,1,6,5,8,8,8,5,13,8,10,13,17,7,14,12,9,13,13,13,29,12,20,24,16,19,29,27,17,36,25,24,30,24,33,31,37,27,34,45,34,34,32,32,39,44,45,42,45,35,53,52,54,45,54,42,53,48,47,49,47,58,54,53,51,49,38,47,43,36,40,37,26,37,25,31,35,26,21,20,21,13,11,14,10,12,2,4,1,7,5,3,1,1,0,4,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,1,0,0,2,0,0,3,0,1,5,3,4,4,4,4,2,4,2,3,4,4,8,9,7,10,7,9,15,9,12,20,19,11,19,12,14,17,18,20,14,25,21,14,29,24,31,27,25,33,20,25,30,26,22,30,33,38,44,40,36,41,55,44,34,35,53,47,40,45,41,55,55,61,48,42,45,43,46,49,62,62,53,50,43,39,38,54,40,46,33,32,28,30,26,28,17,15,8,14,20,15,16,7,7,8,2,2,5,4,4,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,1,0,0,0,0,0,1,0,1,1,2,3,1,4,3,2,3,9,4,10,6,11,4,10,5,6,9,8,7,11,11,11,18,18,18,13,13,18,16,18,17,14,18,26,33,29,28,29,30,28,25,39,29,30,40,30,36,29,31,37,44,36,37,40,32,31,35,37,40,32,36,49,42,41,52,49,51,35,33,62,42,53,54,44,59,42,42,35,52,36,26,33,35,39,21,20,31,17,28,19,20,21,15,14,13,9,8,4,5,8,3,3,5,4,3,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,1,1,1,3,2,2,1,1,3,1,2,3,5,4,2,4,3,7,11,7,5,10,14,12,15,8,14,15,13,11,12,14,17,26,15,27,19,20,24,30,14,17,31,28,22,32,36,30,31,30,38,31,32,40,34,39,44,46,45,57,41,41,37,54,37,37,55,39,52,46,56,56,42,54,49,68,51,54,47,47,43,50,28,33,39,40,38,27,31,30,27,30,22,20,24,14,9,8,7,7,7,3,6,6,1,2,3,1,1,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,2,0,1,2,1,2,2,0,3,0,2,1,2,5,3,6,3,9,10,7,4,10,11,5,11,4,15,12,10,13,8,13,16,14,13,16,22,18,13,15,18,19,14,30,23,25,27,26,35,36,32,39,23,25,48,32,44,49,39,41,28,43,38,40,44,50,52,47,39,51,39,37,42,49,50,41,50,71,37,47,46,48,40,45,46,46,46,37,39,25,27,41,33,27,26,21,19,20,18,12,16,5,8,10,6,6,3,2,3,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,1,0,0,0,1,0,2,0,0,3,2,2,4,2,3,3,9,5,7,9,7,3,5,7,9,10,7,11,14,9,12,10,12,22,16,11,12,20,24,31,26,20,30,25,27,25,26,27,37,33,45,27,33,33,33,38,41,40,51,43,44,45,44,44,55,37,51,60,46,48,44,44,53,52,46,51,56,61,55,50,52,62,53,45,52,30,35,32,35,18,26,27,22,21,22,15,16,12,8,14,7,2,8,3,3,3,5,3,1,3,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
